#渠道名称,渠道ID,版本号,公告URL,各个渠道更新版本URL,更新URL,服务器ID,第三方登录开关(0:不允许，1：允许)
ChannelName,ChannelId,Version,NoticeUrl,UpdateVersionUrl,UpdateUrl,SvrId,IsThirdLogin
IOS,101,1.3.2,http://www.553poker.com/gameupdate/UpdateIOS.html,https://appsto.re/cn/QjX29.i,http://cdn.wcygame.com/AppApk/ios/version.txt,20103,1
IOS,101,1.3.3,http://www.553poker.com/gameupdate/UpdateIOS1.html,https://appsto.re/cn/QjX29.i,http://cdn.wcygame.com/AppApk/ios/version.txt,20101,1
Mine,100,1.2.4,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
Lenovo,107,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
XiaoMi,109,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
HuaWei,111,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
WDJ,112,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
ALiPay,115,1.0.4,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/ALiPay/version.txt,20103,0
Qihu360,121,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
易接,100,1.0.1,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
Kupai,122,1.0.2,http://www.553poker.com/gameupdate/UpdateAndroid.html,https://www.baidu.com,http://cdn.wcygame.com/AppApk/version.txt,20103,0
